RobertsNum,Species,Latin,Mass,Length,Wing,Breed,BrSys,Diet,ShrubNest,CavityNest,TreeNest,GroundNest,GrassNest,NestMinHt,NestMaxHt,ClutchM,EggDim1,EggDim2,IncPeriod,NestlingPeriod,DepFledPer,NestlingPred,EggPred,Parasite,AdPred,MaxLifespan,AnnSurvival,MultiBrood,Phylo
530,Common House Martin,Delichon urbicum,18,14,110,0,Pair,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,15,,,
532,Sand Martin,Riparia riparia,13,13,105.2,0,Pair,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,10,,,
538,Black Cuckooshrike,Campephaga flava,32,21,103,1,Pair,invertebrates,0,0,1,0,0,,,1.9,23.8,17.3,20,21.5,,0,0,0,0,5.5,,,
541,Fork-tailed Drongo,Dicrurus adsimilis,44,25,135,1,Pair,invertebrates,0,0,1,0,0,2.2,17,2.8,24.3,18.2,16.5,19,,1,0,0,1,6.8,,0,
545,Black-headed Oriole,Oriolus larvatus,65,25,135.5,1,Pair,invertebrates,0,0,1,0,0,3,20,2.4,28.9,20.2,15,16.5,,0,0,0,0,5,,,
548,Pied Crow,Corvus albus,550,49,356,1,Pair,omnivorous,0,0,1,0,0,3,30,4.1,44.7,30.5,18.5,39,,1,1,0,1,9.3,,,
554,Southern Black Tit,Parus niger,21,16,80.3,1,Coop,invertebrates,0,1,0,0,0,2,5,3.6,18,13.9,14.5,24,49,0,0,0,0,1.6,,0,
558,Grey Penduline Tit,Anthoscopus caroli,6.5,8.5,53.6,1,Pair,invertebrates,0,0,1,0,0,5,10,4.4,14.2,9.5,18,24,,0,0,0,0,,,,
560,Arrow-marked Babbler,Turdoides jardineii,72,24,106,1,Coop,invertebrates,1,1,1,0,1,0.5,3.5,2.9,25.3,18.8,14,19.5,,0,0,0,0,4.2,,,
568,Dark-capped Bulbul,Pycnonotus tricolor,39,20,92.9,1,Pair,fruit,1,0,1,0,0,1,13,2.65,22.9,16.7,13.5,13.5,,0,0,0,0,12,74.3,0,
569,Terrestrial Brownbul,Phyllastrephus terrestris,36,21,78.5,1,Pair,invertebrates,1,0,0,0,0,1,2,2.1,22.8,16.1,13,,,0,0,0,0,12,73.7,,
572,Sombre Greenbul,Andropadus importunus,31,21,88.6,1,Pair,fruit,1,0,1,0,0,1,4,2,24,16.8,12.75,12.25,21,0,0,0,0,12,68.1,1,
575,Eastern Nicator,Nicator gularis,47,23,92.9,1,Pair,invertebrates,1,0,0,0,0,1,2,2.1,25.6,17.3,,,,0,0,0,0,,,,
576,Kurrichane Thrush,Turdus libonyanus,63,22,111,1,Pair,invertebrates,0,0,1,0,0,1.5,16,2.9,26.5,19.3,13.5,14,60,0,0,0,0,10,,1,
580,Groundscraper Thrush,Psophocichla litsitsirupa,76,21,124,1,Pair,invertebrates,0,0,1,0,0,2,16,2.7,27.5,20.3,14.5,16,42,0,0,0,0,4,,1,
599,White-browed Robin-Chat,Cossypha heuglini,35,18.5,91.3,1,Pair,invertebrates,1,1,0,0,0,0,8,2,23,16.6,15.25,15,28,0,0,0,0,12,,0,
600,Red-capped Robin-Chat,Cossypha natalensis,32,16.5,86.4,1,Pair,invertebrates,0,1,0,0,0,0,3.8,2.9,22.4,16.5,14.5,14.5,42,0,0,0,0,11,,0,
602,White-throated Robin-Chat,Cossypha humeralis,23,15.5,75.9,1,Pair,invertebrates,0,0,0,1,0,0,2,2.8,20.9,15.1,14.5,13.5,45.5,0,0,0,0,10.5,,0,
613,White-browed Scrub Robin,Cercotrichas leucophrys,20,15,67.6,1,Pair,invertebrates,1,0,0,1,1,0,1.6,2.7,20,14.2,12,11.5,,0,0,0,0,11.8,,0,
617,Bearded Scrub-Robin,Cercotrichas quadrivirgata,26,17,77.6,1,Pair,invertebrates,0,1,0,0,0,,,2.9,20.3,14.8,13.75,16,28,0,0,0,0,6.9,,,
628,Great Reed Warbler,Acrocephalus arundinaceus,30,20,93,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,27,,,
631,African Reed Warbler,Acrocephalus baeticatus,10,13,59.5,1,Pair,invertebrates,0,0,0,0,1,0.3,3,2.4,17.6,13.2,13.25,12.5,,0,0,0,0,8.5,76.5,,
633,Marsh Warbler,Acrocephalus palustris,11,13,68.4,0,,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,9.8,51.1,,
638,Little Rush Warbler,Bradypterus baboecala,14,14,58.6,1,Pair,invertebrates,0,0,0,0,1,0,0.7,2.25,19,13.8,13,12.5,,0,0,0,0,2.75,,,
642,Broad-tailed Warbler,Schoenicola brevirostris,15,15,59,1,Pair,invertebrates,0,0,0,0,1,0.15,0.2,2.4,18.4,13.8,,,,0,0,0,0,,,,
643,Willow Warbler,Phylloscopus trochilus,9,12,67.4,0,Pair,invertebrates,0,0,0,0,0,,,,,,,,,0,0,0,0,11.8,,,
645,Bar-throated Apalis,Apalis thoracica,10.5,12.5,53.2,1,Pair,invertebrates,0,0,1,0,0,0.1,3,2.7,17.2,12.2,15,16,,0,0,0,0,9.25,,1,
648,Yellow-breasted Apalis,Apalis flavida,8,12.5,48.8,1,Pair,invertebrates,1,0,1,0,0,,,,,,,,,0,0,0,0,10,0.68,,
649,Rudd's Apalis,Apalis ruddi,10,13,47.3,1,Pair,invertebrates,1,0,1,0,0,0.3,2.5,2,16.9,12.2,,,,0,0,0,0,7,,,
651,Long-billed Crombec,Sylvietta rufescens,11,11,59.6,1,Pair,invertebrates,1,0,1,0,0,0.8,4.3,1.8,18.6,12.4,14,14,10,0,0,0,0,8.5,0.795,,
653,Yellow-bellied Eremomela,Eremomela icteropygialis,8,11,55.8,1,Pair,invertebrates,1,0,0,1,1,0.6,2.7,2.3,15.8,11.4,13.5,15.5,28,0,0,0,0,2.1,,,
656,Burnt-necked Eremomela,Eremomela usticollis,9,11,54.5,1,Pair,invertebrates,0,0,1,0,0,3,6,2.2,15.9,11.7,,,,0,0,0,0,,,1,
657,Green-backed Camaroptera,Camaroptera brachyura,11,13,51,1,Pair,invertebrates,1,0,1,0,1,0,6,2.9,17,12.3,14.5,14.5,,0,0,0,0,,,,
659,Stierling's Wren-Warbler,Calamonastes stierlingi,13,14,59.3,1,Pair,invertebrates,0,0,1,0,0,0.5,6.2,2.5,17.8,12.5,,,,0,0,0,0,,,,
