Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,Pasture x shrub 2.5%,50%,97.50%,5%,95%,Homestead x shrub 2.5%,50%,97.50%,5%,95%,WAIC
Southern Masked Weaver,-7.53,-2.45,-8.02,-4.14,-12,-20.9,-2.58,1.36,-0.57,7.83,-4.97,-4.2,2.47,5.66,6.55,22.7,0.183,11.1,-6.61,-1.67,-6.7,-2.39,-10.7,-18.1,1.56,4.8,5.33,20.1,-0.665,8.68,464.9729
Speckled Mousebird,-0.865,-0.279,-10.1,-7.35,-15.3,-20.6,4.28,6.32,-1.96,4.89,-6.83,-5.6,12,13.7,7.2,21.3,3.86,9.22,-0.108,1.53,-8.69,-5.63,-13.8,-18.2,10.4,12.2,5.15,18.4,0.812,6.75,664.1524
Spectacled Weaver,0.919,-15,-7.07,-14.2,-12,-20.9,11.3,-3.21,7.24,2.68,3.08,-2.59,25.5,10.9,24,21.2,17.9,14.7,2.1,-13.3,-4.82,-11.5,-9.43,-18,23,8.28,21.3,18.2,15.4,12,537.2132
Spotted Flycatcher,-3.05,-5.6,-9.73,-19.7,0.64,-6.38,1.56,-1.78,-2.24,-8.27,7.06,4.4,7.03,3.9,5.53,2.74,15.8,16.3,-2.32,-4.93,-8.52,-17.8,1.86,-4.44,6.04,2.55,4.19,0.984,14,14.2,570.4589
Tawny-flanked Prinia,-1.31,-0.792,-3.47,-3.54,-1.44,-12.2,0.359,0.116,-0.525,1.39,-0.149,-3.25,2.57,0.994,2.18,15.3,1.23,4.28,-1.02,-0.627,-2.89,-2.72,-1.23,-9.89,2.07,0.852,1.69,11.4,0.988,2.43,958.468
Terrestrial Brownbul,-4.54,0.263,-3.62,-8.2,-0.0321,1.86,-1.96,1.32,0.106,-0.879,2.79,11.9,-0.189,3.09,3.74,5,10.6,27,-3.96,0.413,-2.79,-6.73,0.343,3.09,-0.546,2.73,2.97,3.91,8.57,24.2,435.1209
Violet-backed Starling,2.88,-9.31,-21.9,-15.7,-7.25,-18.5,10.3,-1.54,-10.3,-0.879,4.17,-0.134,22.1,11.6,6.49,19.2,21,14.9,3.9,-8,-20,-13.5,-5.19,-15.3,19.9,9.11,3.11,16,17.7,12.4,467.5441
White-bellied Sunbird,-0.237,-0.0307,-0.963,-4.13,0.173,-3.42,0.479,0.577,0.279,-1.49,1.48,-0.635,1.34,1.3,1.78,0.997,3.23,2.07,-0.118,0.0644,-0.753,-3.66,0.367,-2.95,1.17,1.17,1.48,0.573,2.88,1.6,1007.9093
White-browed Scrub Robin,1.22,0.0238,-7.07,-6.8,-0.927,2.13,4.9,2.5,0.729,3.61,6.19,11.3,14.1,11.8,8.44,14.2,15.7,23.6,1.59,0.282,-5.39,-4.98,0.565,3.57,12.4,9.77,6.87,12.3,14,21.5,1144.908
Willow Warbler,-0.409,-16.3,-7.93,-17.2,-3.21,-20.2,6.79,-6.55,3.99,-0.458,10.7,-2.22,20.4,8.65,20.4,19,25,14.7,0.489,-14.6,-5.99,-14.7,-0.77,-17.1,17.9,4.98,17.5,16,22.6,12,485.9124
Woodland Kingfisher,-2.04,-5.85,-14.2,-17,-6.17,-7.69,2.99,-0.449,-5.81,-5.29,1.06,4.4,9.89,5.86,1.49,6.82,9.07,18,-1.21,-5,-12.8,-15.1,-4.84,-5.65,8.68,4.59,0.316,4.66,7.48,15.6,507.2291
Yellow-breasted Apalis,-2.49,0.783,-12.5,-25.4,-7.51,-11.4,2.17,7.58,-2.83,-10.5,3.68,4.65,10.9,20.5,5.13,2.52,17.4,22.1,-1.78,1.19,-10.8,-22.9,-5.43,-8.83,9.37,18.4,3.46,0.393,14.4,19.2,456.6942
Yellow-fronted Canary,0.779,-1.54,-2.25,-0.122,-0.613,-21,1.86,-0.587,-0.156,8.92,0.586,-4.28,3.83,0.266,1.78,24.3,1.99,10,0.935,-1.36,-1.82,0.885,-0.413,-18,3.37,0.115,1.39,21.6,1.72,7.76,1480.6141
