Species,Intercept 2.5%,50%,97.50%,5%,95%,Shrub cover 2.5%,50%,97.50%,5%,95%,Pasture 2.5%,50%,97.50%,5%,95%,Homestead 2.5%,50%,97.50%,5%,95%,WAIC
Southern Black Tit,3.1600,0.4670,-13.4000,-15.2000,12.0000,7.3100,-4.2500,-5.7100,22.0000,16.8000,3.8100,1.8800,4.2300,1.1300,-11.8000,-13.5000,20.5000,15.6000,2.1300,0.5010,880.1301
Southern Boubou,-6.6600,0.3580,1.0800,-2.3800,-3.9000,1.1500,3.3500,1.0600,-2.3200,2.2400,7.0700,4.5200,-6.0300,0.4810,1.4300,-1.7400,-2.5500,2.0300,6.2400,3.8400,386.5385
Southern Fiscal,-21.0000,-11.9000,-1.0800,4.7000,-12.4000,-5.0900,5.0600,11.2000,-6.6600,-1.9000,12.4000,20.6000,-19.6000,-10.6000,0.0487,5.5400,-7.4100,-2.2900,11.0000,19.0000,363.6309
Southern Grey-headed Sparrow,-3.0300,-1.6600,-1.3900,3.6800,-2.0100,-0.9270,-0.0130,9.6000,-1.2600,-0.2930,1.2000,23.5000,-2.8100,-1.5300,-1.1100,4.1800,-1.3800,-0.3900,0.9610,20.8000,535.3047
Southern Masked Weaver,-6.3300,-4.3600,-8.6700,-1.5100,-2.0100,-0.8260,-1.2600,6.6300,3.0200,1.3000,5.0100,18.2000,-5.5400,-3.6900,-7.2700,-0.1070,2.0600,0.8840,3.9200,15.9000,469.8347
Speckled Mousebird,-1.0600,-2.8700,-10.0000,-4.3100,3.8900,3.0000,-1.3400,5.9600,12.6000,9.3400,8.5900,21.5000,-0.4090,-1.4600,-8.4800,-2.4100,10.7000,8.0700,6.2200,18.1000,674.3350
Spectacled Weaver,0.5890,-12.2000,-7.2700,-12.6000,9.3000,-2.2300,7.7600,2.3500,25.5000,8.4800,22.7000,19.3000,1.5200,-10.5000,-4.4300,-10.3000,21.4000,6.9700,19.9000,16.4000,533.9836
Spotted Flycatcher,-1.8400,-0.6400,-10.9000,-19.2000,2.9000,2.4300,-3.0800,-9.0200,8.8000,6.8400,4.2800,-0.6460,-1.0700,-0.2070,-9.5000,-17.5000,7.7100,5.9200,3.0100,-1.9700,595.5737
Tawny-flanked Prinia,-1.2500,-0.6100,-3.1200,-0.3400,0.2950,-0.0033,-0.5060,2.9600,2.2400,0.6360,1.9200,12.0000,-0.9870,-0.5140,-2.6500,0.1760,1.8700,0.5320,1.4700,8.5800,950.9184
Terrestrial Brownbul,-4.4300,1.0100,-2.7400,-8.8100,-2.0300,2.0300,0.3600,-2.7200,-0.2650,3.9200,3.5900,1.1600,-3.8900,1.1500,-2.0400,-7.6600,-0.6210,3.5200,2.8900,0.5580,436.6498
Violet-backed Starling,1.9100,-4.9400,-21.9000,-15.5000,8.8600,-0.2440,-11.0000,-3.7800,19.5000,7.7900,0.5450,16.5000,2.8600,-4.1000,-20.1000,-13.8000,17.4000,5.3000,-2.6100,12.8000,454.1133
White-bellied Sunbird,-0.2140,0.4220,-1.2900,-2.3700,0.5900,1.0000,-0.0253,-0.7150,1.5400,1.7300,1.3400,0.7120,-0.0933,0.5100,-1.0600,-2.0500,1.3500,1.5900,1.0800,0.4710,1012.1831
White-browed Scrub Robin,3.5700,3.9100,-9.7600,-12.4000,9.3100,9.1100,-2.8900,-4.4000,18.0000,17.4000,3.5400,1.9000,4.2600,4.5000,-8.5800,-10.9000,16.5000,16.0000,2.3200,0.7440,1176.9984
Willow Warbler,0.1980,-10.4000,-8.7400,-12.6000,6.8700,-3.1100,7.5800,0.4550,19.5000,9.4900,24.3000,20.1000,1.0100,-9.2100,-6.2300,-10.6000,17.3000,6.7200,21.5000,16.5000,498.9858
Woodland Kingfisher,-2.3200,-3.0100,-13.3000,-16.1000,1.9200,-0.3240,-5.0200,-6.8600,7.9900,3.2800,1.0900,0.5360,-1.6100,-2.5200,-11.7000,-14.6000,6.8900,2.5100,0.0205,-0.7090,481.0381
Yellow-breasted Apalis,-2.3600,2.0500,-12.4000,-25.2000,2.1300,8.0200,-3.6800,-10.6000,9.0300,18.3000,2.5800,-0.6670,-1.6300,2.5900,-10.7000,-22.8000,7.8200,16.7000,1.3100,-2.1500,458.3403
Yellow-fronted Canary,0.6800,-0.9010,-1.7100,2.2200,1.6800,-0.3040,0.0230,8.8700,3.2400,0.2610,1.8500,24.1000,0.8460,-0.7920,-1.3800,2.8900,2.9200,0.1720,1.4900,21.5000,1477.0008
